Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
692,Plaine de Jeux de la Beaujoire,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Ville de Nantes,NANTES,Route de Saint Joseph,,,44300,47.2639930544,-1.53365379171
76,Gymnase Joêl Paon,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,NANTES,42 Rue des Hauts Pavés,,,44000,47.2243419206,-1.56398900831
84,Gymnase Leloup Bouhier,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Région,NANTES,11 Boulevard de Launay,,,44100,47.210048509,-1.57348599151
844,Piscine Jules Verne Haluchère - Nantes,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Ville de Nantes,,,,,44300,47.248251332,-1.51748108855
846,Plaine de jeux Jean Jacques Audubon,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Ville de Nantes,,,,,44300,47.240171029,-1.50438306883
848,Plaine de Jeux Jonelière,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Non renseigné,LA-CHAPELLE-SUR-ERDRE,Route de la Jonelière,,,44240,47.2614440995,-1.54361456098
855,Plaine de Jeux Sévres,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Ville de Nantes,NANTES,Rue de l'Olivraie,,,44200,47.1846104464,-1.53165352512
865,Cercle d'Aviron de Nantes,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60101,Base nautique,Ville de Nantes,,,,,44000,47.2339812184,-1.54729366118
95,Gymnase ASPTT de Longchamp,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Privé,NANTES,Rue Chanteclerc,,,44300,47.235391342,-1.57972153053
97,Salle Saint Donatien,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Privé,NANTES,Avenue Camille Guérin,,,44000,47.2302801692,-1.54328641606
1072,Stade de la Roche,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Ville de Nantes,NANTES,10 Rue de la Révolution des Oeillets,,,44000,47.2192670174,-1.51974623122
111,Piscine Durantière - Nantes,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Ville de Nantes,NANTES,11 Rue de la Durantière,,,44100,47.2127565726,-1.59872469161
